key,numeric_representation
೧೭|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕು|ಹದಿನಾಲ್ಕನೇ|ಹದಿನಾಲ್ಕು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|hadimooru|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru,17
೧೮|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru,18
೧೯|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku,19
೨೦|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|bis,20
೨೧|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku,21
೨೨|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|೨೨|ಹದುಮು|ಹದುಮು|ಹದುಮು|ಹದುಮು|hadumu|hadimu|hadimu|hadimu|hadimu|hadimu|hadimu|hadimu|hadimu,22
೨೩|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|teish|taish,23
೨೪|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku,24
೨೫|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|pachis|pachchis|pachish|pachchish|pachis|pachchis,25
೨೬|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|chhabees|chhabish|chhabees|chhabish,26
೨೭|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|satais|sataish|satais|sataish,27
೨೮|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|atthais|atthaish|athais|atthaish,28
೨೯|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|untees|untish|untees|untish,29
೩೦|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|tees|tees|treesh|tees,30
೩೧|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|hadimooru|hadinaalku|ikattish|ekkatish|ikattish|ekkatish|ikattish|ekkatish,31
೧.೫|ಢೇಡ್|ಢೇಡ್|ೝೇಡ್|ಧೇಡ್|ಡೇಡ್|ಡೇಡ್|ಡೇಡ್|dedh|dhed,1.5
೨.೫|ಢಾಯಿ|ೝಾಯಿ|ಧಾಯಿ|ಧಾಯಿ|dhaai|daai,2.5

